Sr no.,Name of the Outlet,Location,State,District,Urban/ Highway/ Rural,Width in ft,Height in ft,Total Area in Sq Ft,Rates,Installation Charge,Printing Charge,Net Total
1,Andheri Station Hoarding,Andheri West,Maharashtra,Mumbai Suburban,Urban,20,10,200,150,5000,3000,38000
2,Bandra Reclamation Billboard,Bandra East,Maharashtra,Mumbai Suburban,Highway,15,8,120,180,4000,2500,28100
3,FC Road Junction,Shivaji Nagar,Maharashtra,Pune,Urban,18,9,162,160,4500,2800,29420
4,SG Highway Hoarding,Satellite,Gujarat,Ahmedabad,Highway,25,12,300,200,6000,4000,70000
5,100 Feet Road Billboard,Koramangala,Karnataka,Bangalore Urban,Urban,20,10,200,180,5500,3200,42700
6,CP Inner Circle,Connaught Place,Delhi,Central Delhi,Urban,30,15,450,250,8000,5000,125500
7,Pondy Bazaar Hoarding,T Nagar,Tamil Nadu,Chennai,Urban,15,8,120,170,4500,2800,28700
8,Park Street Metro,Park Street,West Bengal,Kolkata,Urban,20,10,200,160,5000,3000,38000
9,Statue Circle Billboard,MI Road,Rajasthan,Jaipur,Urban,18,9,162,140,3800,2500,28380
10,Road No 12 Hoarding,Banjara Hills,Telangana,Hyderabad,Urban,22,11,242,170,5200,3500,50640
